Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
L,100uh,SMD 12.5X12.5X5MM,C408533,TOP,90,-3868.11,2297.24
D28,SS36A,DIOM5226X230N,C360444,TOP,0,-2450.79,1114.17
F1,2A,FUSE SMD,C3130,TOP,90,-3031.5,1231.29
C23,100nF,0603_CAP,C77055,TOP,180,-3048.68,1110.24
C21,470uF,CAP SMD 10.5X10MM ALUMINUM 470UF/35V,C263985,TOP,180,-3350.39,1655.51
C26,220uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V,C294521,TOP,180,-3704.72,1787.4
C5,220uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V,C294521,TOP,180,-3992.13,1791.34
C4,220uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V,C294521,TOP,180,-4279.53,1791.34
D29,SS36A,DIOM5226X230N,C110485,TOP,180,-3352.36,2043.31
C22,47uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V,C264234,TOP,0,-4279.53,2192.91
PW,LED-RED,LEDC2012X120,C375458,TOP,0,-2846.46,1137.8
R64,1k,0603_RES,C328340,TOP,0,-2682.54,1129.92
U12,LM358B,SO8,,TOP,270,-4841.34,3948.82
U9,LM358B,SO8,,TOP,270,-4838.39,3633.72
U14,LM358N,SO8,,TOP,270,-4834.84,3322.7
RV1,10K,PRE-SQ1,,TOP,90,-5188.98,4311.02
RV2,10K,PRE-SQ1,,TOP,90,-5188.98,3881.89
RV3,10K,PRE-SQ1,,TOP,90,-5188.98,3476.38
RV4,10K,PRE-SQ1,,TOP,90,-5188.98,3078.74
RV6,10K,PRE-SQ1,,TOP,90,-5192.91,2685.04
U1,74HC14,SOIC127P780X210-14,,TOP,90,-3594.49,3722.44
R18,330,0603_RES,,TOP,90,-5346.46,4280.96
R32,330,0603_RES,,TOP,270,-5362.2,3758.41
R34,330,0603_RES,,TOP,90,-5350.39,3214.03
R12,10k,0603_RES,,TOP,270,-5051.18,3147.1
R8,10k,0603_RES,,TOP,270,-5062.99,2757.34
R33,2.2K,0603_RES,,TOP,90,-5000,2997.5
R10,2.2K,0603_RES,,TOP,90,-5015.75,2616.68
U6,PC817X3CSP9F,PC817XI1J,,TOP,0,-4208.66,3762.6
U4,PC817X3CSP9F,PC817XI1J,,TOP,0,-4212.6,3494.88
U3,PC817X3CSP9F,PC817XI1J,,TOP,0,-4208.66,3235.04
C11,100nF,0603_CAP,C77055,TOP,270,-3909.45,3852.9
